L2_norm,rounds,test_metrics_accuracy,test_metrics_target_accuracy,loss1,loss2
0.5, 0, 0.1396, 0.713, 2.28, 2.233
0.5, 5, 0.634, 0.174, 1.725, 2.1
0.5, 10, 0.7084, 0.274, 0.979, 1.821
0.5, 15, 0.804, 0.1204, 0.613, 2.225
0.5, 20, 0.828, 0.198, 0.519, 1.656
0.5, 25, 0.841, 0.174, 0.484, 1.499
0.8, 0, 0.322, 0.1566, 2.28, 2.27
0.8, 5, 0.674, 0.147, 1.316, 1.974
0.8, 10, 0.74, 0.265, 0.777, 1.854
0.8, 15, 0.8311, 0.1144, 0.53, 2.316
0.8, 20, 0.849, 0.271, 0.452, 1.37
0.8, 25, 0.877, 0.1506, 0.387, 1.604
1, 0, 0.1141, 0.975, 2.27, 2.13
1, 5, 0.649, 0.192, 1.16, 2.03
1, 10, 0.832, 0.087, 1.53, 2.32
1, 15, 0.8835, 0.069, 0.378, 2.04
1, 20, 0.872, 0.0454, 0.363, 0.899
1, 24, 0.91, 0.1536, 0.298, 1.311
1.5, 0, 0.11, 1, 2.274, 1.963
1.5, 5, 0.736, 0.1777, 0.8281, 2.0899
1.5, 10, 0.825, 0.313, 0.527, 1.3316
1.5, 15, 0.905, 0.102, 0.317, 1.51
1.5, 20, 0.858, 0.816, 0.358, 0.517
1.5, 25, 0.893, 0.629, 0.285, 0.74